SAMPN,PERNO,PLANO,ACTNO,APURP,Act_Cat,LAT,LON,MODE,PNAME,place_type
1066319,1,1,2,ALL OTHER ACTIVITIES AT MY HOME,Personal,37.433724,-122.145373,,SON'S HOME,Other
1154126,1,1,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,44.738279,-93.201189,,SECOND HOME,Other
1154126,2,1,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,44.738279,-93.201189,,SECOND HOME,Other
1164867,2,4,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,37.738625,-119.5721381,Walk,ROOM,Other
1166433,3,4,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,28.228563,-81.505527,Auto / Van / Truck Passenger,RENTAL HOUSE,Other
1166433,4,4,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,28.228563,-81.505527,Auto / Van / Truck Passenger,RENTAL HOUSE,Other
1172873,3,5,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.007736,-117.11714,Auto / Van / Truck Driver,GIRLFRIEND'S HOME,Other
1250358,2,4,2,ALL OTHER ACTIVITIES AT MY HOME,Personal,34.684494,-118.105048,Auto / Van / Truck Passenger,PARENT'S HOME,Other
1387364,4,3,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.9902579,-117.3398027,Auto / Van / Truck Driver,SECOND HOME,Other
1387364,5,5,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.9902579,-117.3398027,Auto / Van / Truck Driver,SECOND HOME,Other
1424856,2,3,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,34.1839408,-119.2212335,Auto / Van / Truck Driver,HOME 2,Other
1449681,2,4,2,ALL OTHER ACTIVITIES AT MY HOME,Personal,34.032669,-118.743072,Auto / Van / Truck Driver,BEACH HOUSE,Other
1449681,2,7,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,34.032669,-118.743072,Auto / Van / Truck Driver,BEACH HOUSE,Other
1518645,2,6,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,37.9910906,-122.5086611,Auto / Van / Truck Driver,PRIVATE RESIDENCE,Other
1524520,2,1,2,ALL OTHER ACTIVITIES AT MY HOME,Personal,38.656834,-121.344855,,GRANDPARENTS' HOME,Other
1620371,1,5,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,34.073109,-118.161928,Walk,PRIVATE RESIDENCE,Other
1708563,2,5,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,38.5479879,-121.528696,Auto / Van / Truck Driver,PRIVATE RESIDENCE,Other
1708563,2,7,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,38.5479879,-121.528696,Auto / Van / Truck Driver,PRIVATE RESIDENCE,Other
